"Symbol","Gene_Symbol","TR.MC.3","TR.MC.2","TR.MC.1","NCM.2","NCM.1","DC.3","DC.2","DC.1"
"ENSMUSG00000021252","0610007P14Rik",18.84513656,16.96501187,19.81715522,14.70439039,9.014034051,22.77810802,27.81279065,24.1075198
"ENSMUSG00000007777","0610009B22Rik",21.63471269,19.07763599,18.57858301,9.92018682,14.32068313,12.92425565,11.66927956,14.815403
"ENSMUSG00000086714","0610009E02Rik",0.247962323,0.320094564,0.168896209,0,0,0.071404727,0.181387765,0.259919351
"ENSMUSG00000043644","0610009L18Rik",2.107679746,2.81683216,2.026754511,0.211067805,10.46791051,1.142475638,1.51156471,2.01437497
"ENSMUSG00000024442","0610009O20Rik",2.107679746,2.176643033,2.420845666,7.457729099,0.508856761,1.428094547,1.088326591,1.42955643
"ENSMUSG00000042208","0610010F05Rik",52.81597482,51.08709235,51.68224002,31.02696729,3.198528212,48.84083351,51.39320012,45.09600739
"ENSMUSG00000020831","0610010K14Rik",2.169670327,2.368699771,2.533443138,3.095661135,0.581550584,2.356356003,2.176653182,1.42955643
"ENSMUSG00000025731","0610011F06Rik",8.430718986,8.70657213,7.881823097,14.07118698,5.306649079,6.99766328,7.557823548,6.627943449
"ENSMUSG00000089755","0610012D04Rik",0,0,0.056298736,0,0,0,0.241850354,0.064979838
"ENSMUSG00000046683","0610025J13Rik",0,0.064018913,0,0,0,0,0,0
"ENSMUSG00000058706","0610030E20Rik",36.32648034,29.38468094,33.32885195,67.61205344,100.0993943,20.27894257,22.25023252,23.71764077
"ENSMUSG00000099146","0610031O16Rik",0,0,0,0.070355935,0,0,0.060462588,0
"ENSMUSG00000028608","0610037L13Rik",40.85179273,37.89919633,40.59138895,44.88708646,20.8631272,24.2776073,30.11036901,34.24437448
"ENSMUSG00000097882","0610038B21Rik",3.719434847,2.81683216,1.40746841,0,0,1.642308729,1.390639533,1.819435456
"ENSMUSG00000058812","0610039K10Rik",0.371943485,0.192056738,0.281493682,0.351779674,0,0.071404727,0.120925177,0.064979838
"ENSMUSG00000089889","0610040B10Rik",1.425783358,1.280378254,1.351169674,0,0.145387646,0.642642546,0.36277553,0.909717728
"ENSMUSG00000087341","0610040F04Rik",0.495924646,0.448132389,0.6192861,0.422135609,0.508856761,1.07107091,0.786013649,0.974697566
"ENSMUSG00000060512","0610040J01Rik",4.277350074,4.545342803,4.897990068,0.562847479,23.48010483,3.641641095,6.650884722,3.248991887
"ENSMUSG00000087361","0610043K17Rik",0.185971742,0,0.056298736,0.633203414,0,0,0,0.194939513
"ENSMUSG00000097863","1010001B22Rik",0.185971742,0.192056738,0.112597473,0,0,0.285618909,0.060462588,0.324899189
"ENSMUSG00000097222","1010001N08Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000090066","1110002E22Rik",0.061990581,0,0,0,0,0,0,0
"ENSMUSG00000097134","1110002J07Rik",0.867868131,1.856548469,1.182273465,3.58815268,0,3.356022185,1.995265417,2.664173347
"ENSMUSG00000071456","1110002L01Rik",1.363792777,1.472434993,0.957078519,3.939932354,1.090407345,1.428094547,1.209251768,0.974697566
"ENSMUSG00000102531","1110002O04Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000022972","1110004E09Rik",13.08001254,12.03555559,11.99163086,5.558118857,21.73545308,10.42509019,10.03678967,17.15467716
"ENSMUSG00000030663","1110004F10Rik",126.3368036,115.5541375,120.1978022,87.66349488,48.050617,102.7514027,115.4835438,127.750361
"ENSMUSG00000046119","1110008E08Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000027637","1110008F13Rik",97.20123066,96.41248256,100.7747382,95.33229178,76.03773885,66.76342007,60.70443873,76.74118836
"ENSMUSG00000021023","1110008L16Rik",8.244747244,9.282742345,8.444810461,0.070355935,0,7.783115281,11.4274292,9.032197445
"ENSMUSG00000039195","1110008P14Rik",31.11927155,33.35385353,36.81937361,11.18659365,29.7317736,19.0650622,16.6272118,18.7791731
"ENSMUSG00000045237","1110012L19Rik",13.01802196,12.67574472,12.94870937,7.668796904,18.39153722,9.782447647,7.618286136,8.707298256
"ENSMUSG00000098659","1110015O18Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000028441","1110017D15Rik",0.309952904,0.128037825,0.281493682,0,0,0.142809455,0.060462588,0
"ENSMUSG00000085151","1110018N20Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000097616","1110019D14Rik",3.905406589,3.713096938,5.79876985,0,0,2.070737093,2.902204242,1.754455619
"ENSMUSG00000097047","1110020A21Rik",0.433934065,0.576170215,0.394091155,0.28142374,0.508856761,0,0.241850354,0.259919351
"ENSMUSG00000068073","1110025L11Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000103520","1110025M09Rik",0.557915227,0.064018913,0.675584837,0,0.363469115,0.428428364,0.120925177,0.194939513
"ENSMUSG00000085972","1110028F11Rik",0,0,0,0,0,0.071404727,0,0
"ENSMUSG00000099139","1110028F18Rik",0,0,0,0,0,0,0,0
"ENSMUSG00000037971","1110032A03Rik",16.67546623,16.06874709,16.66442598,15.05617007,5.306649079,15.06639747,13.05991909,16.56985862
