Symbol,Gene_Symbol,CD11cC8_Y_F5_MACS,CD11cC8_Y_F4_MACS,CD11cC8_Y_F3_MACS,CD11cC8_O_F4_MACS,CD11cC8_O_F3_MACS,CD11cC8_O_F1_MACS,C8_Y_F6_MACS,C8_Y_F2_MACS,C8_Y_F1_MACS,C8_O_F7_MACS,C8_O_F4_MACS,C8_O_F2_MACS
ENSMUSG00000000001,Gnai3,130.9160877,74.18336282,86.11400097,23.36621293,146.2705686,85.0783916,34.44276558,104.4062681,41.53238686,25.09035278,304.4088388,14.06324155
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,31.87847255,8.533819916,0.238430744,1.074390326,0.15219748,4.277206183,16.6100881,0.247216588,13.86572127,9.318637921,3.049859613
ENSMUSG00000000031,H19,0,0,0,0.238430744,0.153484332,0.15219748,0,0,0,0.440181628,0,0.33887329
ENSMUSG00000000037,Scml2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056,Narf,37.08760838,27.08471728,19.70536599,9.775660513,20.25993186,29.37411374,1.125580574,22.65012014,0,0.660272442,21.50454905,15.92704465
ENSMUSG00000000058,Cav2,0,7.670008433,0.310320724,0.238430744,4.911498632,0,6.753483447,0,0.247216588,0,0,27.27929987
ENSMUSG00000000078,Klf6,1586.208481,1288.920948,1498.693938,1910.307123,1863.606762,1580.114242,944.362102,1827.541122,1846.707916,962.2370382,1655.133458,1009.672969
ENSMUSG00000000085,Scmh1,25.83453062,17.61705062,12.87831006,0.476861488,17.95766687,52.50813077,9.004644596,44.00594771,28.42990767,12.10499476,18.39833641,42.18972465
ENSMUSG00000000088,Cox5a,482.1389089,397.8816875,327.3883641,555.3052033,284.559952,240.0154267,356.3588099,313.2188043,41.28517027,336.7389452,219.1074609,256.8659541
ENSMUSG00000000093,Tbx2,0,0,0,0.238430744,0,0,0,0,0,0,0,4.23591613
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0,6.471569616,0,0,5.218467296,0,0,0,30.16042379,0,0.238939434,0
ENSMUSG00000000125,Wnt3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,Wnt9a,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,Fer,0,0,0,0.476861488,1.534843322,0,0,0,0,0,1.433636603,22.8739471
ENSMUSG00000000131,Xpo6,40.25748944,73.70398729,43.13458067,38.62578056,138.7498363,89.79651349,37.59439119,35.59304594,37.32970485,0.440181628,79.56683148,129.2801603
